,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,standard_stroke,horsepower-binned
0,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,13495.0,-1.8252758405195246,Low
1,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500.0,-1.8252758405195246,Low
2,1,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500.0,0.6743474669196176,Medium
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950.0,0.4528618573996927,Low
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450.0,0.4528618573996927,Low
5,2,122,audi,gas,std,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250.0,0.4528618573996927,Low
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710.0,0.4528618573996927,Low
7,1,122,audi,gas,std,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920.0,0.4528618573996927,Low
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875.0,0.4528618573996927,Medium
9,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430.0,-1.445586224199656,Low
10,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925.0,-1.445586224199656,Low
11,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970.0,-0.21159497116007914,Medium
12,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105.0,-0.21159497116007914,Medium
